,zip,city,pop,state,loc
26959,91762,ONTARIO,47653,CA,"['-117.66647', '34.058415']"
26960,91763,MONTCLAIR,25862,CA,"['-117.698669', '34.073298']"
26961,91764,ONTARIO,41958,CA,"['-117.625402', '34.076308']"
26962,91765,DIAMOND BAR,41920,CA,"['-117.809822', '34.006585']"
26963,91766,PHILLIPS RANCH,64056,CA,"['-117.752086', '34.043268']"
26964,91767,POMONA,41420,CA,"['-117.736171', '34.081187']"
26965,91768,POMONA,31007,CA,"['-117.776312', '34.066168']"
26966,91770,ROSEMEAD,59898,CA,"['-118.08529', '34.065767']"
26967,91773,SAN DIMAS,32453,CA,"['-117.81694', '34.102263']"
26968,91775,SAN GABRIEL,21426,CA,"['-118.085658', '34.115486']"
26969,91776,SAN GABRIEL,34995,CA,"['-118.095471', '34.089027']"
26970,91780,TEMPLE CITY,31297,CA,"['-118.053652', '34.101586']"
26971,91786,UPLAND,66548,CA,"['-117.658336', '34.114432']"
26972,91789,DIAMOND BAR,42206,CA,"['-117.857828', '34.016625']"
26973,91790,WEST COVINA,38113,CA,"['-117.936643', '34.067336']"
26974,91791,WEST COVINA,25685,CA,"['-117.897767', '34.065267']"
26975,91792,WEST COVINA,30496,CA,"['-117.897459', '34.022852']"
26976,91801,ALHAMBRA,51148,CA,"['-118.129288', '34.091436']"
26977,91803,ALHAMBRA,30228,CA,"['-118.143354', '34.074514']"
26978,91901,ALPINE,12566,CA,"['-116.754328', '32.828161']"
26979,91902,BONITA,16579,CA,"['-117.022065', '32.667143']"
26980,91905,BOULEVARD,1163,CA,"['-116.319982', '32.671934']"
26981,91906,CAMPO,2657,CA,"['-116.490459', '32.660491']"
26982,91910,CHULA VISTA,56320,CA,"['-117.06756', '32.637139']"
26983,91911,CHULA VISTA,65952,CA,"['-117.056459', '32.608428']"
26984,91913,CHULA VISTA,10079,CA,"['-116.985237', '32.651296']"
26985,91914,CHULA VISTA,0,CA,"['-116.96517', '32.65875']"
26986,91915,CHULA VISTA,12,CA,"['-116.940807', '32.631513']"
26987,91916,DESCANSO,1826,CA,"['-116.602732', '32.872971']"
26988,91917,DULZURA,352,CA,"['-116.728523', '32.615172']"
26989,91932,IMPERIAL BEACH,26567,CA,"['-117.11478', '32.578289']"
26990,91934,JACUMBA,599,CA,"['-116.195184', '32.624934']"
26991,91935,JAMUL,7879,CA,"['-116.832332', '32.716289']"
26992,91941,LA MESA,42536,CA,"['-117.011541', '32.760431']"
26993,91942,LA MESA,23944,CA,"['-117.018879', '32.783506']"
26994,91945,LEMON GROVE,24268,CA,"['-117.032646', '32.73323']"
26995,91950,NATIONAL CITY,52005,CA,"['-117.089747', '32.674916']"
26996,91962,PINE VALLEY,1801,CA,"['-116.512733', '32.835047']"
26997,91963,POTRERO,638,CA,"['-116.603748', '32.620477']"
26998,91977,SPRING VALLEY,52403,CA,"['-116.997644', '32.724014']"
26999,91978,SPRING VALLEY,7601,CA,"['-116.959551', '32.732892']"
27000,91980,TECATE,230,CA,"['-116.606397', '32.592205']"
27001,92003,BONSALL,2910,CA,"['-117.18969', '33.294033']"
27002,92004,BORREGO SPRINGS,2633,CA,"['-116.351394', '33.238649']"
27003,92007,CARDIFF BY THE S,10236,CA,"['-117.274371', '33.025265']"
27004,92008,CARLSBAD,35651,CA,"['-117.324998', '33.160241']"
27005,92009,CARLSBAD,27019,CA,"['-117.261888', '33.095407']"
27006,92014,DEL MAR,19885,CA,"['-117.237314', '32.971474']"
27007,92019,EL CAJON,35425,CA,"['-116.919055', '32.777726']"
27008,92020,EL CAJON,55176,CA,"['-116.966504', '32.792765']"
27009,92021,EL CAJON,51773,CA,"['-116.922336', '32.817847']"
27010,92024,ENCINITAS,45995,CA,"['-117.26891', '33.053469']"
27011,92025,ESCONDIDO,39345,CA,"['-117.069987', '33.110117']"
27012,92026,ESCONDIDO,37176,CA,"['-117.097808', '33.160513']"
27013,92027,ESCONDIDO,39305,CA,"['-117.051966', '33.138824']"
27014,92028,FALLBROOK,35232,CA,"['-117.228952', '33.369015']"
27015,92029,ESCONDIDO,18174,CA,"['-117.112793', '33.089497']"
27016,92036,JULIAN,2552,CA,"['-116.565812', '33.053355']"
27017,92037,LA JOLLA,40399,CA,"['-117.25208', '32.845488']"
27018,92040,LAKESIDE,41054,CA,"['-116.920089', '32.856181']"
27019,92054,OCEANSIDE,61760,CA,"['-117.357294', '33.20723']"
27020,92055,MARINE CORP BASE,13643,CA,"['-117.409452', '33.327929']"
27021,92056,OCEANSIDE,40161,CA,"['-117.283089', '33.196784']"
27022,92057,OCEANSIDE,33178,CA,"['-117.302484', '33.240654']"
27023,92059,PALA,1064,CA,"['-117.071725', '33.377662']"
27024,92061,PAUMA VALLEY,1929,CA,"['-116.959552', '33.306285']"
27025,92064,POWAY,43490,CA,"['-117.040223', '32.975619']"
27026,92065,RAMONA,27744,CA,"['-116.853548', '33.029349']"
